role,coverage,components,lines,bytes,score,path,root,title
constraint / M(C) / carrier source,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",55,3359,566,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/geometric-constraint-manifold-frontier-2026-06-06.codex2-receipt.json,wiki-project-codex-ratchet,"""generated_by"": ""codex2"","
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",140,10370,528,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/REFINEMENT_CONTRACT_v1.1.md,repo-a1-refined-fuel,**REFINEMENT_CONTRACT_v1.1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",46,4655,488,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/OBSTRUCTION_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**OBSTRUCTION_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",146,11597,472,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Engine contract v1.md,repo-a1-refined-fuel,Engine contract v1
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",34,3295,464,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/AXIS_SET_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**AXIS_SET_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",46,4365,464,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/RELATIONAL_TRANSPORT_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**RELATIONAL_TRANSPORT_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",45,3777,432,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/COSMOLOGICALLY_CONSTRAINT_ADMISSIBLE_STRUCTURES_v1.md,repo-a1-refined-fuel,"**COSMOLOGICALLY_CONSTRAINT_ADMISSIBLE_STRUCTURES_v1, **"
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",42,4381,424,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/CONSTRAINT_MANIFOLD_DERIVATION_v1.md,repo-a1-refined-fuel,**CONSTRAINT_MANIFOLD_DERIVATION_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",146,10343,416,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Rosetta contract v1.md,repo-a1-refined-fuel,Rosetta contract v1
constraint / M(C) / carrier source,content-scanned,"entropic_root,constraint_root,axes_engine,spacetime_gravity",146,10288,404,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Physics Rosetta v1.md,repo-a1-refined-fuel,Physics Rosetta v1
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",146,11089,400,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Curvature contract v1.md,repo-a1-refined-fuel,Curvature contract v1
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",38,3994,392,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/COMPOSITION_CLASS_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**COMPOSITION_CLASS_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",146,10759,376,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Game theory rosetta v1.md,repo-a1-refined-fuel,Game theory rosetta v1
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",34,3534,368,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/COMPLETENESS_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**COMPLETENESS_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",77,1696,362,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/archive_manifest_v_1.md,repo-a1-refined-fuel,ARCHIVE_MANIFEST_v1
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",34,3451,360,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/DIMENSIONALITY_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**DIMENSIONALITY_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"entropic_root,constraint_root,axes_engine",146,9917,358,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Transport contract v1.md,repo-a1-refined-fuel,**Transport contract v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",36,3572,344,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/GEOMETRY_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**GEOMETRY_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,carrier,axes_engine",74,5095,340,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Base constraints ledger v1.md,repo-a1-refined-fuel,Base constraints ledger v1
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",36,3734,336,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/CYCLE_CLASS_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**CYCLE_CLASS_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",146,10961,336,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Cognition rosetta v1.md,repo-a1-refined-fuel,Cognition rosetta v1
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",34,3559,336,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/DUALITY_CLASS_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**DUALITY_CLASS_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",146,9218,336,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Path contract v1.md,repo-a1-refined-fuel,**Path contract v1**
constraint / M(C) / carrier source,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",125,5199,336,/Users/joshuaeisenhart/wiki/concepts/multi-tool-constraint-manifold-packet-router.md,wiki-concepts-current,type: concept
constraint / M(C) / carrier source,content-scanned,"entropic_root,constraint_root,axes_engine",134,9345,334,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Entropy contract v1.md,repo-a1-refined-fuel,**Entropy contract v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",38,3742,328,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/METRIC_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**METRIC_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",34,3370,320,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/ORTHOGONALITY_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**ORTHOGONALITY_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",146,10712,304,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Topology contract v1.md,repo-a1-refined-fuel,**Topology contract v1 **
constraint / M(C) / carrier source,content-scanned,"constraint_root,carrier,axes_engine,spacetime_gravity",125,5582,292,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/geometric-constraint-manifold-frontier-2026-06-06.hermes-verification.json,wiki-project-codex-ratchet,"""generated_by"": ""Hermes controller"","
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",34,3569,288,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/COORDINATE_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**COORDINATE_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",32,3246,256,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/AXIS_FUNCTION_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,**AXIS_FUNCTION_ADMISSIBILITY_v1**
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",37,1261,204,/Users/joshuaeisenhart/wiki/concepts/_archive/axes-0-6-and-constraint-manifold-explicit-atlas-copy.md,wiki-concepts-current,Axes 0 6 and Constraint Manifold Explicit Atlas Copy
constraint / M(C) / carrier source,content-scanned,"constraint_root,carrier,axes_engine",146,10485,194,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/Simulation protocol v1.md,repo-a1-refined-fuel,Simulation protocol v1
constraint / M(C) / carrier source,content-scanned,"entropic_root,constraint_root,axes_engine",69,2421,182,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/STATE_ABSTRACTION_ADMISSIBILITY_v1.md,repo-a1-refined-fuel,STATE_ABSTRACTION_ADMISSIBILITY_v1
constraint / M(C) / carrier source,content-scanned,"constraint_root,axes_engine",26,3080,152,/Users/joshuaeisenhart/Codex-Ratchet/READ ONLY Legacy core_docs/a1_refined_Ratchet Fuel/constraint ladder/DYNAMICAL_ADMISSIBILITY_BOUNDARY_v1.md,repo-a1-refined-fuel,**DYNAMICAL_ADMISSIBILITY_BOUNDARY_v1**
curated wiki concept,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",281,12557,4032,/Users/joshuaeisenhart/wiki/concepts/sequential-universe-spinor-network-physics-model.md,wiki-concepts-current,Sequential Universe Spinor Network Physics Model
curated wiki concept,content-scanned,"direct_model,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",315,21320,3438,/Users/joshuaeisenhart/wiki/concepts/axis0-physics-source-teeth-map.md,wiki-concepts-current,Axis0 Physics Source Teeth Map
curated wiki concept,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",338,32283,3257,/Users/joshuaeisenhart/wiki/concepts/eisenhart-unified-physics-module.md,wiki-concepts-current,Eisenhart Unified Physics Module
curated wiki concept,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",232,13585,2853,/Users/joshuaeisenhart/wiki/concepts/entropic-monism-origin-and-cosmology.md,wiki-concepts-current,Entropic Monism Origin and Cosmology
curated wiki concept,content-scanned,"direct_model,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",181,9630,1814,/Users/joshuaeisenhart/wiki/concepts/entropic-monism-axis0-field-compression-spine.md,wiki-concepts-current,Entropic Monism Axis0 Field Compression Spine
curated wiki concept,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",123,11757,1703,/Users/joshuaeisenhart/wiki/concepts/owner-thesis-and-cosmology.md,wiki-concepts-current,Owner Thesis And Cosmology
curated wiki concept,content-scanned,"direct_model,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",67,6438,1455,/Users/joshuaeisenhart/wiki/raw/owner-prompts/entropic-monism-axis0-fuzz-field-owner-prompts-2026-06-05.md,wiki-owner-prompts,Entropic Monism / Axis0 / JK Fuzz Field Owner Prompts
curated wiki concept,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",178,13581,1098,/Users/joshuaeisenhart/wiki/concepts/legacy-physics-cosmology.md,wiki-concepts-current,Legacy Physics and Cosmology
curated wiki concept,content-scanned,"entropic_root,constraint_root,axes_engine",52,2450,438,/Users/joshuaeisenhart/wiki/concepts/constraint-on-admissibility-entropy-tables-entropic-monism.md,wiki-concepts-current,Constraint on Admissibility Entropy Tables Entropic Monism
curated wiki concept,content-scanned,"entropic_root,axes_engine,spacetime_gravity",37,1880,280,/Users/joshuaeisenhart/wiki/concepts/_archive/entropic-monism-origin-and-cosmology-copy.md,wiki-concepts-current,Entropic Monism Origin and Cosmology Copy
wiki processing/router/extract,content-scanned,"direct_model,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",1460,46917,5364,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/whole-physics-model-processing-ledger-2026-06-05.md,wiki-project-codex-ratchet,Whole Physics Model Processing Ledger
wiki processing/router/extract,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",586,23954,4854,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/physics-model-unique-claim-atlas-2026-06-06.md,wiki-project-codex-ratchet,Physics Model Unique Claim Atlas 2026-06-06
wiki processing/router/extract,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",564,21222,4767,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/actual-physics-docs-processing-map-2026-06-06.md,wiki-project-codex-ratchet,Actual Physics Docs Processing Map 2026-06-06
wiki processing/router/extract,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",219,11909,3990,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/old-physics-model-source-excavation-2026-06-06.md,wiki-project-codex-ratchet,Old Physics Model Source Excavation 2026-06-06
wiki processing/router/extract,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",265,10630,2822,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/owner-physics-claims-source-extract-2026-06-06.md,wiki-project-codex-ratchet,Owner Physics Claims Source Extract 2026-06-06
wiki processing/router/extract,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",225,13716,2776,/Users/joshuaeisenhart/wiki/projects/codex-ratchet/legacy-core-docs-source-root-inventory-2026-06-06.md,wiki-project-codex-ratchet,Legacy Core Docs Source-Root Inventory 2026-06-06
wiki processing/router/extract,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",197,9275,2621,/Users/joshuaeisenhart/wiki/concepts/physics-model-as-system-mirror.md,wiki-concepts-current,Physics Model As System Mirror
wiki raw source copy,content-scanned,"cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",13100,847320,4848,/Users/joshuaeisenhart/wiki/raw/articles/legacy-books/the-dark-empress-a-practical-guide-to-universal-dominion-v6-1-2.txt,wiki-raw-legacy-books,The Dark Empress
wiki raw source copy,content-scanned,"dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",532,35728,3650,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Axis 0 rough and drifty. NOT CANON.md,wiki-raw-system-v5-reference-docs,Axis 0 full math. Possibly drifty and woo
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",273,16945,2884,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Outdated math and geometry ladder.md,wiki-raw-system-v5-reference-docs,Here’s the cleanest current table I can give you.
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",1661,58589,2674,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/apple axes terrain operator math.md,wiki-raw-system-v5-reference-docs,Inward / Type 1 Terrains
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",284,28964,2530,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/preaxis sim run.md,wiki-raw-system-v5-reference-docs,Pre Axis Sim Run
wiki raw source copy,content-scanned,"cosmology,dark_sector,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",196,10070,2218,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/ENTROPIC_MONISM_ORIGIN_AND_COSMOLOGY copy.md,wiki-raw-system-v5-reference-docs,"Entropic Monism — Origin, Derivation, and Cosmological Model"
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",134,12664,2056,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/QIT_ENGINE_GEOMETRY_ENTROPY_BRIDGE_MASTER_TABLE copy.md,wiki-raw-system-v5-reference-docs,"QIT Engine, Geometry, Entropy, and Bridge Master Table"
wiki raw source copy,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",3133,102400,1826,/Users/joshuaeisenhart/wiki/raw/articles/legacy-books/holodeck docs.md.txt,wiki-raw-legacy-books,﻿Your projective holodeck model is a compelling synthesis of predictive coding (brain as a prediction machine that proje
wiki raw source copy,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",3133,102400,1826,/Users/joshuaeisenhart/wiki/raw/articles/legacy-books/holodeck-docs-md.txt,wiki-raw-legacy-books,﻿Your projective holodeck model is a compelling synthesis of predictive coding (brain as a prediction machine that proje
wiki raw source copy,content-scanned,"direct_model,cosmology,dark_sector,entropic_root,carrier,axes_engine,spacetime_gravity",2206,108333,1826,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/holodeck docs.md,wiki-raw-system-v5-reference-docs,Your projective holodeck model is a compelling synthesis of predictive coding (brain as a prediction machine that projec
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",4259,158752,1808,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/BOOTPACKS/MEGABOOT_RATCHET_SUITE_v7.4.7-PROJECTS_PATCHED_CONSTRAINT_MANIFOLD copy.md,wiki-raw-system-v5-reference-docs,MEGABOOT_RATCHET_SUITE v7.4.7-PROJECTS
wiki raw source copy,content-scanned,"direct_model,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",721,46749,1744,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/INTENT_SUMMARY copy.md,wiki-raw-system-v5-reference-docs,A2 INTENT SUMMARY
wiki raw source copy,content-scanned,"direct_model,entropic_root,constraint_root,carrier,axes_engine,spacetime_gravity",721,46749,1744,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/Older Legacy/INTENT_SUMMARY copy.md,wiki-raw-system-v5-reference-docs,A2 INTENT SUMMARY
wiki raw source copy,content-scanned,"entropic_root,constraint_root,carrier,axes_engine",359,21279,1710,/Users/joshuaeisenhart/wiki/raw/articles/system-v5-reference-docs/AXIS_0_1_2_QIT_MATH.md,wiki-raw-system-v5-reference-docs,Axis 0–1–2 QIT Math Packet
